key,en,fr,nl,de,es,ar,zh,hi,ja,ru,uk
auto.componentsDetailpanel.valueDownloadedForAdminReviewWithValue,{value} downloaded for admin review with {value} / {value} media assets packaged.,{value} téléchargé pour revue admin avec {value} / {value} ressources média incluses.,,,,,,,,,
auto.componentsDetailpanel.valueU00b0c,+ {value} \u00B0C,+ {value} °C,,,,,,,,,
auto.componentsDetailpanel.valueValue,))} {value} : {value},))} {value} : {value},,,,,,,,,
auto.componentsDetailpanel.valueValue2,{value} ( {value} ),{value} ( {value} ),,,,,,,,,
auto.componentsDetailpanel.valueValue3,{value} : {value},{value} : {value},,,,,,,,,
auto.componentsDetailpanel.valueValueValueValue,{value} {value} : {value} {value},{value} {value} : {value} {value},,,,,,,,,
auto.componentsDetailpanel.valueValueValueValueValueValueValue,{value} {value} {value} {value} : {value} {value} : {value} {value} : {value},{value} {value} {value} {value} : {value} {value} : {value} {value} : {value},,,,,,,,,
auto.componentsDetailpanel.valueValueValueValueValueValueValue2,{value} {value} {value} : {value} {value} {value} {value} {value},{value} {value} {value} : {value} {value} {value} {value} {value},,,,,,,,,
auto.componentsDetailpanel.valueX,{value} x,{value} x,,,,,,,,,
auto.componentsDetailpanel.verifySource,Verify source,Vérifier la source,,,,,,,,,
auto.componentsDetailpanel.veryShort,Very Short,Très court,,,,,,,,,
auto.componentsDetailpanel.writingStyle,Writing style,Style d'écriture,,,,,,,,,
auto.componentsDetailpanel.zipDownloaded,ZIP Downloaded,ZIP téléchargé,,,,,,,,,
auto.componentsDetailpanel.zoom,Zoom,Zoom,,,,,,,,,
auto.componentsDetailpanel.zoomImageInsideTheDetailPanel,Zoom image inside the detail panel,Zoomer l'image dans le panneau de détail,,,,,,,,,
auto.componentsFeverdebugbar.best,best,meilleur,,,,,,,,,
auto.componentsFeverdebugbar.high,high,élevé,,,,,,,,,
auto.componentsFeverdebugbar.joinValueValueValueValueValueValue,).join('')} {value} {value} {value} ⏮ {value} ⏸ {value} {value} {value} {value} : - {value} : - {value} : - {value} {value} : - {value} : - {value} : - {value} {value} {value} {value} {value} {value},).join('')} {value} {value} {value} ⏮ {value} ⏸ {value} {value} {value} {value} : - {value} : - {value} : - {value} {value} : - {value} : - {value} : - {value} {value} {value} {value} {value} {value},,,,,,,,,
auto.componentsFeverdebugbar.u2713Value,\u2713 {value},✓ {value},,,,,,,,,
auto.componentsFeverdebugbar.valueU2192Value,{value} \u2192 {value},{value} → {value},,,,,,,,,
auto.componentsFeverdebugbar.valueValue,{value} - {value},{value} - {value},,,,,,,,,
auto.componentsFeverdebugbar.valueValue2,[ {value} ] {value},[ {value} ] {value},,,,,,,,,
auto.componentsFeverdebugbar.valueValueValueValueValueValue,{value} {value} : - {value} : - {value} : - {value} : - {value} : -,{value} {value} : - {value} : - {value} : - {value} : - {value} : -,,,,,,,,,
auto.componentsLayerpanel.text2025Value,2025 {value},2025 {value},,,,,,,,,
auto.componentsRegionalmap.cloudsAvg,% clouds avg,% nuages moy.,,,,,,,,,
auto.componentsRegionalmap.eastEu,East EU,Europe de l'Est,,,,,,,,,
auto.componentsRegionalmap.fallbackSchematicEuropeMapWithTopicPins,Fallback schematic Europe map with topic pins,Carte schématique de secours de l'Europe avec épingles de sujets,,,,,,,,,
auto.componentsRegionalmap.find,Find,Trouver,,,,,,,,,
auto.componentsRegionalmap.mapSearchFindValue,Map search Find {value},Recherche carte Trouver {value},,,,,,,,,
auto.componentsRegionalmap.meteoSurface,Meteo surface,Surface météo,,,,,,,,,
auto.componentsRegionalmap.meteoSurfaceValueCloudsAvgValueRain,Meteo surface {value} % clouds avg {value} rain sample {value},Surface météo {value} % nuages moy. {value} échantillon pluie {value},,,,,,,,,
auto.componentsRegionalmap.openMapSearch,Open map search,Ouvrir la recherche carte,,,,,,,,,
auto.componentsRegionalmap.openstreetmapEuropeMapWithTopicPins,OpenStreetMap Europe map with topic pins,Carte OpenStreetMap de l'Europe avec épingles de sujets,,,,,,,,,
auto.componentsRegionalmap.rainSample,rain sample,échantillon pluie,,,,,,,,,
auto.componentsRegionalmap.topicAddressCityOr50854,"Topic, address, city, or 50.85, 4.35","Sujet, adresse, ville ou 50.85, 4.35",,,,,,,,,
auto.componentsRegionalmap.ukIreland,UK / Ireland,R.-U. / Irlande,,,,,,,,,
auto.componentsRegionalmap.valueValueValue,{value} {value} {value},{value} {value} {value},,,,,,,,,
auto.componentsRegionalmap.valueValueValue2,"{value} {value} , {value}","{value} {value}, {value}",,,,,,,,,
auto.componentsSettingspanel.aiApi,AI API,API IA,,,,,,,,,
auto.componentsSettingspanel.showShortUsageHintsAcrossTheInterface,Show short usage hints across the interface. Turn off for a cleaner English-first UI.,Afficher de courts conseils d'utilisation dans l'interface. Désactivez-les pour une UI plus épurée et d'abord en anglais.,,,,,,,,,
auto.componentsSettingspanel.ttsSttProvidersVoiceAndModelAre,"TTS/STT providers, voice, and model are managed in API Settings. Off keeps translation reading on browser voice.","Les fournisseurs TTS/STT, la voix et le modèle sont gérés dans les paramètres API. Désactivé, la lecture de traduction reste sur la voix du navigateur.",,,,,,,,,
auto.componentsTopbar.primaryModes,Primary modes,Modes principaux,,,,,,,,,
auto.dataFeverTopics.agricultureFailingMassDisplacement,"Agriculture failing, mass displacement","Agriculture en échec, déplacements massifs",,,,,,,,,
auto.dataFeverTopics.approachingCriticalThresholdZone,Approaching critical threshold zone,Approche de la zone de seuil critique,,,,,,,,,
auto.dataFeverTopics.breadbasketRegionsBecomingDesert,Breadbasket regions becoming desert,Les régions céréalières deviennent désertiques,,,,,,,,,
auto.dataFeverTopics.cascadingEcosystemCollapseSpreadingMassMigrationAnd,Cascading ecosystem collapse spreading. Mass migration and resource conflicts emerging.,Effondrement écosystémique en cascade qui se propage. Migrations massives et conflits de ressources émergent.,,,,,,,,,
auto.dataFeverTopics.cascadingRiskPhase,Cascading Risk Phase,Phase de risque en cascade,,,,,,,,,
auto.dataFeverTopics.catastrophicWarming,Catastrophic Warming,Réchauffement catastrophique,,,,,,,,,
auto.dataFeverTopics.climateAcceleration,Climate Acceleration,Accélération climatique,,,,,,,,,
auto.dataFeverTopics.climateActionPhase,Climate Action Phase,Phase d'action climatique,,,,,,,,,
auto.dataFeverTopics.climateBoundary,Climate Boundary,Limite climatique,,,,,,,,,
auto.dataFeverTopics.climateChangeConfirmed,Climate Change Confirmed,Changement climatique confirmé,,,,,,,,,
auto.dataFeverTopics.climateDisruption,Climate Disruption,Perturbation climatique,,,,,,,,,
auto.dataFeverTopics.climateEmergency,Climate Emergency,Urgence climatique,,,,,,,,,
auto.dataFeverTopics.climatePlateau,Climate Plateau,Plateau climatique,,,,,,,,,
auto.dataFeverTopics.climateRecovery,Climate Recovery,Rétablissement climatique,,,,,,,,,
auto.dataFeverTopics.climateShiftConfirmed,Climate Shift Confirmed,Bascule climatique confirmée,,,,,,,,,
auto.dataFeverTopics.climateThreshold,Climate Threshold,Seuil climatique,,,,,,,,,
auto.dataFeverTopics.climateYear1950,Climate Year 1950,Année climatique 1950,,,,,,,,,
auto.dataFeverTopics.climateYear1975,Climate Year 1975,Année climatique 1975,,,,,,,,,
auto.dataFeverTopics.climateYear2000,Climate Year 2000,Année climatique 2000,,,,,,,,,
auto.dataFeverTopics.climateYear2025,Climate Year 2025,Année climatique 2025,,,,,,,,,
auto.dataFeverTopics.climateYear2050,Climate Year 2050,Année climatique 2050,,,,,,,,,
auto.dataFeverTopics.climateYear2075,Climate Year 2075,Année climatique 2075,,,,,,,,,
auto.dataFeverTopics.climateYear2100,Climate Year 2100,Année climatique 2100,,,,,,,,,
auto.dataFeverTopics.climateYear2125,Climate Year 2125,Année climatique 2125,,,,,,,,,
auto.dataFeverTopics.coastalFloodingAndDroughtCyclesIntensifying,Coastal flooding and drought cycles intensifying,Inondations côtières et cycles de sécheresse en intensification,,,,,,,,,
auto.dataFeverTopics.criticalWarmingThresholdApproachingIceSheetInstability,Critical warming threshold approaching. Ice sheet instability and ecosystem shifts observable.,Seuil critique de réchauffement approchant. Instabilité des calottes glaciaires et changements d'écosystèmes observables.,,,,,,,,,
auto.dataFeverTopics.earlyWarmingSignal,Early Warming Signal,Signal précoce de réchauffement,,,,,,,,,
auto.dataFeverTopics.earthSystemApproachingIncompatibility,Earth system approaching incompatibility,Le système Terre approche d'une incompatibilité,,,,,,,,,
auto.dataFeverTopics.ecosystemCollapseSpreadingGlobally,Ecosystem collapse spreading globally,Effondrement des écosystèmes se propageant mondialement,,,,,,,,,
auto.dataFeverTopics.existentialThreatLevel,Existential Threat Level,Niveau de menace existentielle,,,,,,,,,
auto.dataFeverTopics.extremeWeatherBecomingNormal,Extreme weather becoming normal,Les événements extrêmes deviennent normaux,,,,,,,,,
auto.dataFeverTopics.firstMeasurableWarmingDetectedGlobally,First measurable warming detected globally,Premier réchauffement mesurable détecté mondialement,,,,,,,,,
auto.dataFeverTopics.firstMeasurableWarmingDetectedScientificCommunityBegins,First measurable warming detected. Scientific community begins raising early concerns.,Premier réchauffement mesurable détecté. La communauté scientifique commence à lancer les premières alertes.,,,,,,,,,
auto.dataFeverTopics.habitableZonesShrinkingRapidly,Habitable zones shrinking rapidly,Zones habitables en recul rapide,,,,,,,,,
auto.dataFeverTopics.iceSheetCollapseImminent,Ice sheet collapse imminent,Effondrement imminent de la calotte glaciaire,,,,,,,,,
auto.dataFeverTopics.iceSheetInstabilityAndEcosystemShifts,Ice sheet instability and ecosystem shifts,Instabilité des calottes glaciaires et bascules d'écosystèmes,,,,,,,,,
auto.dataFeverTopics.industrialBaselineEstablishedGlobalCooperationBeginsShaping,Industrial baseline established. Global cooperation begins shaping a sustainable future path.,Référence industrielle établie. La coopération mondiale commence à façonner une trajectoire durable.,,,,,,,,,
auto.dataFeverTopics.majorClimateDisruption,Major Climate Disruption,Perturbation climatique majeure,,,,,,,,,
auto.dataFeverTopics.multipleTippingPointsCrossed,Multiple tipping points crossed,Plusieurs points de bascule franchis,,,,,,,,,
auto.dataFeverTopics.nearPlanetaryBoundaryLimits,Near planetary boundary limits,Près des limites planétaires,,,,,,,,,
auto.dataFeverTopics.planetaryCrisis,Planetary Crisis,Crise planétaire,,,,,,,,,
auto.dataFeverTopics.planetaryCrisisDeepens,Planetary Crisis Deepens,La crise planétaire s'aggrave,,,,,,,,,
auto.dataFeverTopics.planetarySystemsInCrisisMultipleTippingPoints,"Planetary systems in crisis. Multiple tipping points crossed, feedback loops accelerating.","Systèmes planétaires en crise. Plusieurs points de bascule franchis, boucles de rétroaction en accélération.",,,,,,,,,
auto.dataFeverTopics.preAccelerationBaselinePeriod,Pre-acceleration baseline period,Période de référence avant accélération,,,,,,,,,
auto.dataFeverTopics.preIndustrialClimateBaselineEstablished,Pre-industrial climate baseline established,Référence climatique préindustrielle établie,,,,,,,,,
auto.dataFeverTopics.rapidWarming,Rapid Warming,Réchauffement rapide,,,,,,,,,
auto.dataFeverTopics.scientificCommunityDetectingEarlySignals,Scientific community detecting early signals,La communauté scientifique détecte les premiers signaux,,,,,,,,,
auto.dataFeverTopics.severeClimateDisruptionUnderwayCoastalFloodingDrought,"Severe climate disruption underway. Coastal flooding, drought cycles intensifying globally.",Perturbation climatique sévère en cours. Inondations côtières et cycles de sécheresse s'intensifient mondialement.,,,,,,,,,
auto.dataFeverTopics.severeHabitabilityLoss,Severe Habitability Loss,Perte sévère d'habitabilité,,,,,,,,,
auto.dataFeverTopics.stabilizationEffortsShowingImpact,Stabilization efforts showing impact,Les efforts de stabilisation montrent un impact,,,,,,,,,
auto.dataFeverTopics.systemsStabilizingUnderBestScenario,Systems stabilizing under best scenario,Les systèmes se stabilisent dans le meilleur scénario,,,,,,,,,
auto.dataFeverTopics.temperaturePlateauHoldingSteady,Temperature plateau holding steady,Plateau de température stable,,,,,,,,,
auto.dataFeverTopics.tropicalZonesAbandoned,Tropical zones abandoned,Zones tropicales abandonnées,,,,,,,,,
auto.dataFeverTopics.warmingAccelerationBeyondNaturalCycles,Warming acceleration beyond natural cycles,Accélération du réchauffement au-delà des cycles naturels,,,,,,,,,
auto.dataFeverTopics.warmingSignalEmerging,Warming Signal Emerging,Signal de réchauffement émergent,,,,,,,,,
auto.dataFeverTopics.warmingSignalIntensifyingQuickly,Warming signal intensifying quickly,Signal de réchauffement qui s'intensifie rapidement,,,,,,,,,
auto.dataFeverTopics.warmingTrendAcceleratingBeyondNaturalVariationExtreme,Warming trend accelerating beyond natural variation. Extreme weather events increasing.,Tendance au réchauffement accélérant au-delà de la variabilité naturelle. Les événements météorologiques extrêmes augmentent.,,,,,,,,,
auto.dataFeverTopics.warmingTrendExceedsNaturalVariation,Warming trend exceeds natural variation,La tendance au réchauffement dépasse la variabilité naturelle,,,,,,,,,
auto.dataLayers.bikeWays,Bike Ways,Voies cyclables,,,,,,,,,
auto.dataLayers.communityProjects,Community Projects,Projets communautaires,,,,,,,,,
auto.dataLayers.countryNews,Country News,Actualités pays,,,,,,,,,
auto.dataLayers.earthSFever,Earth\'s Fever,Fièvre de la Terre,,,,,,,,,
auto.dataLayers.eu,EU,UE,,,,,,,,,
auto.dataLayers.evCharging,EV Charging,Recharge VE,,,,,,,,,
auto.dataLayers.extremeEvents,Extreme Events,Événements extrêmes,,,,,,,,,
auto.dataLayers.hydrogenH2,Hydrogen H2,Hydrogène H2,,,,,,,,,
auto.dataLayers.liveMeteo,Live Meteo,Météo live,,,,,,,,,
auto.dataLayers.regionalNews,Regional News,Actualités régionales,,,,,,,,,
auto.dataPoints.aCitizenEnergyCooperativeIsInvitingResidents,"A citizen energy cooperative is inviting residents to co-finance rooftop solar bundles on schools and community buildings, with small-ticket participation.","Une coopérative citoyenne d'énergie invite les habitants à cofinancer des lots solaires sur les écoles et bâtiments communautaires, avec une participation à petit ticket.",,,,,,,,,
auto.dataPoints.additionalCurbsideChargersAreBeingClusteredNear,Additional curbside chargers are being clustered near car-share and logistics corridors to support lower-emission urban travel.,Des bornes de recharge supplémentaires en voirie sont regroupées près des corridors d'autopartage et de logistique pour soutenir des déplacements urbains moins émissifs.,,,,,,,,,
auto.dataPoints.alpineSnowpack40BelowHistoricalAverage,Alpine Snowpack 40% Below Historical Average,Manteau neigeux alpin 40 % sous la moyenne historique,,,,,,,,,
auto.dataPoints.amocColdBranch,AMOC Cold Branch,Branche froide AMOC,,,,,,,,,
auto.dataPoints.amocNorthSink,AMOC North Sink,Puits nord AMOC,,,,,,,,,
auto.dataPoints.amocWarmBranch,AMOC Warm Branch,Branche chaude AMOC,,,,,,,,,
auto.dataPoints.amsterdamExpandsProtectedBikeRingCorridors,Amsterdam Expands Protected Bike Ring Corridors,Amsterdam étend les corridors cyclables protégés en anneau,,,,,,,,,
auto.dataPoints.anUnprecedentedWinterHeatwaveHasAffectedThe,"An unprecedented winter heatwave has affected the Mediterranean region, with temperatures reaching 8Â°C above seasonal averages. Climate scientists link this anomaly to broader climate change patterns.","Une vague de chaleur hivernale sans précédent à touché la région méditerranéenne, avec des températures atteignant 8 °C au-dessus des moyennes saisonnières. Les climatologues relient cette anomalie à des tendances plus larges du changement climatique.",,,,,,,,,
auto.dataPoints.aPilotRedesignStrengthensProtectedCyclingLinks,"A pilot redesign strengthens protected cycling links between central Brussels, rail nodes, and dense residential neighborhoods.","Un réaménagement pilote renforce les liaisons cyclables protégées entre le centre de Bruxelles, les nœuds ferroviaires et les quartiers résidentiels denses.",,,,,,,,,
auto.dataPoints.aRapidlyIntensifyingStormSystemInThe,"A rapidly intensifying storm system in the Pacific Ocean shows characteristics of climate change-enhanced weather patterns, prompting early warning systems across the region.","Un système de tempête s'intensifiant rapidement dans l'océan Pacifique présente des caractéristiques de phénomènes météorologiques renforcés par le changement climatique, déclenchant des systèmes d'alerte précoce dans la région.",,,,,,,,,
auto.dataPoints.atmosphericAerosolLoading,Atmospheric Aerosol Loading,Charge en aérosols atmosphériques,,,,,,,,,
auto.dataPoints.berlinIdentifiedPriorityChargingDistrictsNearSubstations,Berlin identified priority charging districts near substations and transit interchanges to speed deployment while limiting grid bottlenecks.,Berlin à identifié des quartiers prioritaires de recharge près des postes électriques et des échangeurs de transport afin d'accélérer le déploiement tout en limitant les goulets d'étranglement du réseau.,,,,,,,,,
auto.dataPoints.berlinMapsGridAwareEvChargingPriority,Berlin Maps Grid-Aware EV Charging Priority Zones,Berlin cartographie des zones prioritaires de recharge VE sensibles au réseau,,,,,,,,,
auto.dataPoints.biodiversityLossAndSpeciesExtinctionRateMonitoring,Biodiversity loss and species extinction rate monitoring.,Suivi de la perte de biodiversité et du taux d'extinction des espèces.,,,,,,,,,
auto.dataPoints.biogeochemicalFlows,Biogeochemical Flows,Flux biogéochimiques,,,,,,,,,
auto.dataPoints.biosphereIntegrity,Biosphere Integrity,Intégrité de la biosphère,,,,,,,,,
auto.dataPoints.brusselsRepairCafesShareToolsAndSkills,Brussels Repair Cafes Share Tools and Skills,Les Repair Cafés de Bruxelles partagent outils et savoir-faire,,,,,,,,,
auto.dataPoints.brusselsTestsClimateOrientedBikeSpineUpgrade,Brussels Tests Climate-Oriented Bike Spine Upgrade,Bruxelles teste l'amélioration d'un axe cyclable orienté climat,,,,,,,,,
auto.dataPoints.climateChange,Climate Change,Changement climatique,,,,,,,,,
auto.dataPoints.climateChangeTippingPoint,Climate Change Tipping Point,Point de bascule du changement climatique,,,,,,,,,
auto.dataPoints.copenhagenConnectsSuburbanSupercycleRoutes,Copenhagen Connects Suburban Supercycle Routes,Copenhague relie des routes cyclables rapides suburbaines,,,,,,,,,
auto.dataPoints.deepColdWaterContinuesSouthwardFromThe,"Deep cold water continues southward from the Atlantic basin, connecting to global ocean circulation patterns.","L'eau froide profonde continue vers le sud depuis le bassin atlantique, connectée aux modèles de circulation océanique mondiale.",,,,,,,,,
auto.dataPoints.denseColdWaterFlowsSouthwardAtDepth,"Dense, cold water flows southward at depth, returning from the North Atlantic to complete the circulation loop.","De l'eau dense et froide s'écoule vers le sud en profondeur, revenant de l'Atlantique Nord pour compléter la boucle de circulation.",,,,,,,,,
auto.dataPoints.euDigitalServicesActEntersFullEnforcement,EU Digital Services Act Enters Full Enforcement,Le règlement européen sur les services numériques entre pleinement en application,,,,,,,,,
auto.dataPoints.euParliamentApprovesNewClimateLegislation,EU Parliament Approves New Climate Legislation,Le Parlement européen approuve une nouvelle législation climatique,,,,,,,,,
auto.dataPoints.forestCoverAgriculturalLandUseAndEcosystem,"Forest cover, agricultural land use, and ecosystem conversion tracking.","Suivi du couvert forestier, de l'utilisation des terres agricoles et de la conversion des écosystèmes.",,,,,,,,,
auto.dataPoints.freshwaterChange,Freshwater Change,Changement de l'eau douce,,,,,,,,,
auto.dataPoints.germanyAnnouncesMajorInfrastructureInvestment,Germany Announces Major Infrastructure Investment,L'Allemagne annonce un grand investissement dans les infrastructures,,,,,,,,,
auto.dataPoints.ghentCooperativeOpensCitizenSolarShareCalls,Ghent Cooperative Opens Citizen Solar Share Calls,Une coopérative de Gand ouvre des appels à parts solaires citoyennes,,,,,,,,,
auto.dataPoints.globalFreshwaterConsumptionAndAvailabilityMonitoring,Global freshwater consumption and availability monitoring.,Suivi de la consommation et de la disponibilité mondiales d'eau douce.,,,,,,,,,
auto.dataPoints.hamburgFlagsH2RefuelingNodesForMaritime,Hamburg Flags H2 Refueling Nodes for Maritime Logistics,Hambourg identifie des nœuds de ravitaillement H2 pour la logistique maritime,,,,,,,,,
auto.dataPoints.hydrogenRefuelingNodesAreBeingPrioritizedAround,Hydrogen refueling nodes are being prioritized around logistics depots and port service routes with hard-to-electrify vehicle demand.,Les nœuds de ravitaillement en hydrogène sont priorisés autour des dépôts logistiques et des routes de service portuaire où la demande de véhicules difficiles à électrifier est forte.,,,,,,,,,
auto.dataPoints.iberianPeninsulaRenewableEnergyBreakthrough,Iberian Peninsula Renewable Energy Breakthrough,Percée des énergies renouvelables dans la péninsule Ibérique,,,,,,,,,
auto.dataPoints.landSystemChange,Land System Change,Changement du système terrestre,,,,,,,,,
auto.dataPoints.lilleSchoolStreetVolunteersExpandCoolingAnd,Lille School Street Volunteers Expand Cooling and Greening,"À Lille, les bénévoles des rues scolaires étendent rafraîchissement et végétalisation",,,,,,,,,
auto.dataPoints.mediterraneanHeatwaveBreaksRecords,Mediterranean Heatwave Breaks Records,La vague de chaleur méditerranéenne bat des records,,,,,,,,,
auto.dataPoints.milanAndSurroundingPoValleyCitiesImplement,"Milan and surrounding Po Valley cities implement comprehensive air quality measures, including low-emission zones and public transport expansion.","Milan et les villes voisines de la vallée du Pô mettent en œuvre des mesures complètes de qualité de l'air, incluant des zones à faibles émissions et l'expansion des transports publics.",,,,,,,,,
auto.dataPoints.monitoringOfSyntheticChemicalsPlasticsAndNovel,"Monitoring of synthetic chemicals, plastics, and novel organisms in the environment.","Suivi des produits chimiques synthétiques, des plastiques et des nouveaux organismes dans l'environnement.",,,,,,,,,
auto.dataPoints.monitoringStationsAcrossTheSwissAlpsReport,"Monitoring stations across the Swiss Alps report significantly reduced snowpack levels, raising concerns about summer water availability and winter tourism impact.","Les stations de suivi dans les Alpes suisses signalent un manteau neigeux nettement réduit, suscitant des inquiétudes sur la disponibilité de l'eau en été et l'impact sur le tourisme d'hiver.",,,,,,,,,
auto.dataPoints.monthlyRepairCafesAndSharedToolSessions,"Monthly repair cafes and shared-tool sessions across Brussels help residents fix small appliances, reduce waste, and meet neighbors through practical climate action.","Des repair cafés mensuels et des sessions d'outils partagés à Bruxelles aident les habitants à réparer de petits appareils, réduire les déchets et rencontrer leurs voisins par une action climatique pratique.",,,,,,,,,
auto.dataPoints.neighborhoodVolunteersAreSupportingSchoolStreetDays,"Neighborhood volunteers are supporting school street days, pocket shading, and small greening actions around dense blocks to reduce heat and traffic exposure.","Des bénévoles de quartier soutiennent des journées rues scolaires, l'ombrage de poche et de petites actions de végétalisation autour de blocs denses pour réduire chaleur et exposition au trafic.",,,,,,,,,
auto.dataPoints.newPublicFastChargingHubsTargetNeighborhoods,"New public fast-charging hubs target neighborhoods where off-street private parking is limited, widening practical EV access.","De nouveaux hubs publics de recharge rapide ciblent les quartiers où le stationnement privé hors rue est limité, élargissant l'accès pratique aux VE.",,,,,,,,,
auto.dataPoints.newSupercycleLinksImproveContinuousEastWest,New supercycle links improve continuous east-west commuting routes and close several last-mile gaps between suburban municipalities.,De nouvelles liaisons cyclables rapides améliorent les itinéraires continus est-ouest et comblent plusieurs ruptures du dernier kilomètre entre communes suburbaines.,,,,,,,,,
auto.dataPoints.nitrogenAndPhosphorusCyclesDisruptionFromAgricultural,Nitrogen and phosphorus cycles disruption from agricultural runoff.,Perturbation des cycles de l'azote et du phosphore par le ruissellement agricole.,,,,,,,,,
auto.dataPoints.nordicCountriesLeadGlobalSustainabilityIndex,Nordic Countries Lead Global Sustainability Index,Les pays nordiques dominent l'indice mondial de durabilité,,,,,,,,,
auto.dataPoints.nordicNationsCollectivelyRankAsTheWorld,"Nordic nations collectively rank as the world's most sustainable economies, balancing economic growth with environmental protection and social equality indicators.","Les nations nordiques se classent collectivement parmi les économies les plus durables au monde, conciliant croissance économique, protection de l'environnement et indicateurs d'égalité sociale.",,,,,,,,,
auto.dataPoints.northernItalyAirQualityImprovementInitiative,Northern Italy Air Quality Improvement Initiative,Initiative d'amélioration de la qualité de l'air en Italie du Nord,,,,,,,,,
auto.dataPoints.novelEntities,Novel Entities,Entités nouvelles,,,,,,,,,
auto.dataPoints.novelEntitiesTippingPoint,Novel Entities Tipping Point,Point de bascule des entités nouvelles,,,,,,,,,
auto.dataPoints.oceanAcidification,Ocean Acidification,Acidification des océans,,,,,,,,,
auto.dataPoints.oceanPhLevelsAndCarbonateSaturationMonitoring,Ocean pH levels and carbonate saturation monitoring.,Suivi du pH océanique et de la saturation en carbonates.,,,,,,,,,
auto.dataPoints.osloAddsFastChargingHubsForDense,Oslo Adds Fast-Charging Hubs for Dense Apartment Areas,Oslo ajoute des hubs de recharge rapide pour les zones denses d'appartements,,,,,,,,,
auto.dataPoints.pacificStormSystemIntensifies,Pacific Storm System Intensifies,Un système de tempête du Pacifique s'intensifie,,,,,,,,,
auto.dataPoints.parisGrowsCurbsideEvChargingNearShared,Paris Grows Curbside EV Charging Near Shared Mobility Zones,Paris développe la recharge VE en voirie près des zones de mobilité partagée,,,,,,,,,
auto.dataPoints.particulateMatterConcentrationInTheAtmosphereAffecting,Particulate matter concentration in the atmosphere affecting climate and health.,Concentration de particules dans l'atmosphère affectant le climat et la santé.,,,,,,,,,
auto.dataPoints.portLinkedLogisticsRoutesAreTestingHydrogen,Port-linked logistics routes are testing hydrogen refueling access for heavy-duty vehicles moving between industrial clusters.,Des itinéraires logistiques liés aux ports testent l'accès au ravitaillement en hydrogène pour véhicules lourds entre clusters industriels.,,,,,,,,,
auto.dataPoints.regionalPlannersAreMonitoringHydrogenRefuelingGrowth,Regional planners are monitoring hydrogen refueling growth along freight and logistics corridors serving northern Switzerland.,Les planificateurs régionaux surveillent la croissance du ravitaillement en hydrogène le long des corridors de fret et de logistique desservant le nord de la Suisse.,,,,,,,,,
auto.dataPoints.rotterdamNeighborhoodRainGardenNetworkMapsOpen,Rotterdam Neighborhood Rain Garden Network Maps Open Lots,Rotterdam cartographie des terrains ouverts pour un réseau de jardins de pluie de quartier,,,,,,,,,
auto.dataPoints.rotterdamPortCorridorAddsH2FreightRefueling,Rotterdam Port Corridor Adds H2 Freight Refueling Stops,Le corridor portuaire de Rotterdam ajoute des arrêts de ravitaillement H2 pour le fret,,,,,,,,,
auto.dataPoints.spainAndPortugalJointlyAnnounceAchieving85,"Spain and Portugal jointly announce achieving 85% renewable energy generation capacity, surpassing 2030 targets six years early. Solar and wind installations exceeded expectations.","L'Espagne et le Portugal annoncent conjointement avoir atteint 85 % de capacité de production d'énergie renouvelable, dépassant les objectifs 2030 avec six ans d'avance. Les installations solaires et éoliennes ont dépassé les attentes.",,,,,,,,,
auto.dataPoints.stratosphericOzoneDepletion,Stratospheric Ozone Depletion,Appauvrissement de l'ozone stratosphérique,,,,,,,,,
auto.dataPoints.stratosphericOzoneLayerProtectionAndCfcMonitoring,Stratospheric ozone layer protection and CFC monitoring.,Protection de la couche d'ozone stratosphérique et suivi des CFC.,,,,,,,,,
auto.dataPoints.theCityExtendedSeparatedCycleCorridorsLinking,"The city extended separated cycle corridors linking outer districts to central multimodal hubs, with continuous protection at major junctions.","La ville à prolongé des corridors cyclables séparés reliant les quartiers périphériques aux hubs multimodaux centraux, avec une protection continue aux grands carrefours.",,,,,,,,,
auto.dataPoints.theDigitalServicesActNowFullyApplies,"The Digital Services Act now fully applies to all online platforms operating in the EU, introducing strict content moderation requirements and user protection measures.","Le règlement sur les services numériques s'applique désormais pleinement à toutes les plateformes en ligne opérant dans l'UE, introduisant des exigences strictes de modération des contenus et de protection des utilisateurs.",,,,,,,,,
auto.dataPoints.theGermanGovernmentUnveiledAA500,"The German government unveiled a â‚¬500 billion infrastructure modernization plan focusing on renewable energy grid expansion, high-speed rail networks, and digital infrastructure across the country.","Le gouvernement allemand à dévoilé un plan de modernisation des infrastructures de 500 milliards d'euros axé sur l'expansion du réseau d'énergie renouvelable, les lignes ferroviaires à grande vitesse et l'infrastructure numérique dans tout le pays.",,,,,,,,,
auto.dataPoints.theUnitedKingdomIntroducesACarbonBorder,The United Kingdom introduces a carbon border adjustment mechanism to prevent carbon leakage and encourage global climate action. The policy affects imports from high-emission economies.,Le Royaume-Uni introduit un mécanisme d'ajustement carbone aux frontières pour prévenir les fuites de carbone et encourager l'action climatique mondiale. La politique affecte les importations provenant d'économies à fortes émissions.,,,,,,,,,
auto.dataPoints.ukImplementsNewCarbonBorderTax,UK Implements New Carbon Border Tax,Le Royaume-Uni met en œuvre une nouvelle taxe carbone aux frontières,,,,,,,,,
